dateSold,price,bedrooms,bathrooms,livingArea,lotSize,yearBuilt
1413158400,221900.0,3.0,1.0,1180.0,5650.0,1955.0
1418083200,538000.0,3.0,2.25,2570.0,7242.0,1951.0
1424822400,180000.0,2.0,1.0,770.0,10000.0,1933.0
1418083200,604000.0,4.0,3.0,1960.0,5000.0,1965.0
1424217600,510000.0,3.0,2.0,1680.0,8080.0,1987.0
1399852800,1230000.0,4.0,4.5,5420.0,101930.0,2001.0
1403827200,257500.0,3.0,2.25,1715.0,6819.0,1995.0
1421280000,291850.0,3.0,1.5,1060.0,9711.0,1963.0
1429056000,229500.0,3.0,1.0,1780.0,7470.0,1960.0
1426118400,323000.0,3.0,2.5,1890.0,6560.0,2003.0
1428019200,662500.0,3.0,2.5,3560.0,9796.0,1965.0
1401148800,468000.0,2.0,1.0,1160.0,6000.0,1942.0
1401235200,310000.0,3.0,1.0,1430.0,19901.0,1927.0
1412640000,400000.0,3.0,1.75,1370.0,9680.0,1977.0
1426118400,530000.0,5.0,2.0,1810.0,4850.0,1900.0
1422057600,650000.0,4.0,3.0,2950.0,5000.0,1979.0
1406764800,395000.0,3.0,2.0,1890.0,14040.0,1994.0
1401321600,485000.0,4.0,1.0,1600.0,4300.0,1916.0
1417737600,189000.0,2.0,1.0,1200.0,9850.0,1921.0
1429833600,230000.0,3.0,1.0,1250.0,9774.0,1969.0
1400025600,385000.0,4.0,1.75,1620.0,4980.0,1947.0
1409011200,2000000.0,3.0,2.75,3050.0,44867.0,1968.0
1404345600,285000.0,5.0,2.5,2270.0,6300.0,1995.0
1400198400,252700.0,2.0,1.5,1070.0,9643.0,1985.0
1416441600,329000.0,3.0,2.25,2450.0,6500.0,1985.0
1414972800,233000.0,3.0,2.0,1710.0,4697.0,1941.0
1403740800,937000.0,3.0,1.75,2450.0,2691.0,1915.0
1417392000,667000.0,3.0,1.0,1400.0,1581.0,1909.0
1403568000,438000.0,3.0,1.75,1520.0,6380.0,1948.0
1425254400,719000.0,4.0,2.5,2570.0,7173.0,2005.0
1415577600,580500.0,3.0,2.5,2320.0,3980.0,2003.0
1417392000,280000.0,2.0,1.5,1190.0,1265.0,2005.0
1403568000,687500.0,4.0,1.75,2330.0,5000.0,1929.0
1415577600,535000.0,3.0,1.0,1090.0,3000.0,1929.0
1417564800,322500.0,4.0,2.75,2060.0,6659.0,1981.0
1402617600,696000.0,3.0,2.5,2300.0,3060.0,1930.0
1401235200,550000.0,4.0,1.0,1660.0,34848.0,1933.0
1419897600,640000.0,4.0,2.0,2360.0,6000.0,1904.0
1423785600,240000.0,4.0,1.0,1220.0,8075.0,1969.0
1403222400,605000.0,4.0,2.5,2620.0,7553.0,1996.0
1405382400,625000.0,4.0,2.5,2570.0,5520.0,2000.0
1407715200,775000.0,4.0,2.25,4220.0,24186.0,1984.0
1404691200,861990.0,5.0,2.75,3595.0,5639.0,2014.0
1414454400,685000.0,3.0,1.0,1570.0,2280.0,1922.0
1406592000,309000.0,3.0,1.0,1280.0,9656.0,1959.0
1405641600,488000.0,3.0,2.5,3160.0,13603.0,2003.0
1427241600,210490.0,3.0,1.0,990.0,8528.0,1966.0
1405468800,785000.0,4.0,2.5,2290.0,13416.0,1981.0
